話者,ハイライト,会話文,キャラ配置,キャラモーション,背景,BGM,その他,0
,,,,,Gate,,,0
,,,,,,Se_magic,,0
,,,Hero_stick.angry Urura,,,Bgm_village,,0
守護獣,Urura,これで最後だな。よくやった、礼を言う,Hero_stick.sad Urura,Cut,,,,0
守護獣,Urura,…………,,,,,,0
守護獣,Urura,『ムジカトール』の力を見るのは久しいな,,,,,,0
${name},Hero_stick,ムジカトール？,,,,,,0
守護獣,Urura,ああ。先ほど君が使っていた――,,,,,,0
,,,Villager_green1.fear,Enter(right),,,,0
同僚,Villager_green1,おい、${name}！　無事か！？　……って、ボロボロじゃねぇか！,,,,,,0
${name},Hero_stick,いや、問題ない,Villager_green1.fear Hero_stick.sad Urura,,,,,0
同僚,Villager_green1,そんな訳あるか！　早く救護班のところに行くぞ！,,,,,,0
同僚,Villager_green1,あんな魔物の数で生きてるだけでも奇跡みたいなもんなんだから………………あ,,,,,,0
守護獣,Urura,……,,,,,,0
同僚,Villager_green1,守護獣様！　ここにいらしたのですね、魔物たちについては……,Villager_green1 Hero_stick.sad Urura,Cut,,,,0
守護獣,Urura,もう大丈夫だ、村人たちの避難を解いていいと他の見回りの人たちにも伝えておいてくれ,,,,,,0
同僚,Villager_green1,かしこまりました……！　魔物を無事倒せたのですね、流石守護獣様です！,,,,,,0
同僚,Villager_green1,こいつのことも助けて頂いたようで……ありがとうございました,,,,,,0
守護獣,Urura,いや、今回は私が彼に助けられた。彼がいなければ魔物たちを倒すことは出来なかっただろう,,,,,,0
同僚,Villager_green1,そうだったのですね――,,,,,,0
同僚,Villager_green1,――――――――――は？,,,,,,0
守護獣,Urura,詳しいことは後で私から話そう。とりあえず彼を救護班のところへ,,,,,,0
同僚,Villager_green1,……は、はい！,,,,,,0
,,,Clear,,,Se_footstep,,0
,,,,,Blackout,,,0
,,,,,Town,,,0
同僚,Villager_green1,そんなことがあったのですか……。お前、すごいことをしてたんだな,Villager_green1 Urura,,,,,0
村人A,Villager_green2,おい${name}、聞いたぞ。ムジカトールに選ばれたんだってな,Villager_blue1 Villager_green2 Villager_blue2,Cut,,,,0
村人B,Villager_blue1,あの、守護獣様。つまり彼が……,,,,,,0
${name},Hero_stick,ちょっと待て,Hero_stick.sad,Cut,,,,0
村人C,Villager_blue2,ん？　なんだ、${name},Villager_blue1 Villager_green2 Villager_blue2,Cut,,,,0
${name},Hero_stick,結局『ムジカトール』って何なんだ？,Hero_stick.sad,Cut,,,,0
守護獣,Urura,ああ、君には詳しく説明しなくてはね,Hero_stick.sad Urura.sad,Cut,,,,0
守護獣,Urura,ムジカトールというのは、剣や弓ではなく音楽の力で戦う戦士のようなものだ,Hero_stick.sad Urura,Cut,,,,0
${name},Hero_stick,音楽の力……？　あの伝説の…………？,,,,,,0
守護獣,Urura,そうだ、この世界で唯一魔物と対等に戦える者なんだ。この街で語り継がれている伝説の戦士というのもその一人だった,,,,,,0
同僚,Villager_green1,まだお前には話したことがなかったかもな、何故魔物が俺たちを襲うかってこと,Villager_green1 Hero_stick.sad Urura,Cut,,,,0
同僚,Villager_green1,魔物たちはアンテルース城っていうところにいる魔王が作り出した奴らなんだ,,,,,,0
${name},Hero_stick,魔王？,,,,,,0
同僚,Villager_green1,あぁ、そいつは大昔から世界征服をするために魔物を作っていたらしいんだが……実はこれを止めることはできてたんだ、少し前までは,,,,,,0
${name},Hero_stick,一度は成功していたのか？,,,,,,0
守護獣,Urura,そうだ、君が手にしている調和の指揮棒のおかげでな,,,,,,0
守護獣,Urura,かつて我々には三本の調和の指揮棒があった。それにより魔物の襲撃を抑えられていたのだが……,,,,,,0
守護獣,Urura,……魔王にそのうちの一本を奪われてしまったのだ,,,,,,0
${name},Hero_stick,……もしかして,,,,,,0
守護獣,Urura,そうだ、奪った一本を魔王自らが使うことにより、より強い魔物が私たちを襲うようになってしまったのだ,,,,,,0
${name},Hero_stick,……,,,,,,0
守護獣,Urura,だからこそ此処で再度問おう,Hero_stick.sad Urura,Cut,,,,0
守護獣,Urura,君は魔王から調和の指揮棒を取り返し、この世界を救う覚悟はあるか？　その手でこの世界から魔物に苦しむ人々をいなくするという気概はあるか？,,,,,,0
${name},Hero_stick,……,Hero_stick.sad,Cut,,,,0
${name},Hero_stick,（正直、世界がどうとかの覚悟があるかはまだ分からない……だけど！）,,,,,,0
${name},Hero_stick,――人々を魔物から救うための覚悟なら、もうできている,Hero_stick,Cut,,,,0
守護獣,Urura,……！,Urura.happy,Cut,,,,0
${name},Hero_stick,僕は、ムジカトールとして魔王から調和の指揮棒を取り返して見せる,Hero_stick Urura,Cut,,,,0
